Z,A,emax,e3max,hw,E_HF,E_MP2,E_HF + E_IMSRG,Ecorr_MP3
8,14,14,24,16,-49.200576255,-43.646102504,-95.201736,-2.77327906
8,16,14,24,16,-74.043838500,-47.216007280,-125.338593,-3.95516466
8,22,14,24,16,-84.563256516,-66.305009736,-155.998372,-5.74271375
8,24,14,24,16,-88.014170147,-70.059587156,-162.866818,-5.43819764
8,28,14,24,16,-88.325396053,-72.334847425,-163.264339,-3.80958845
20,34,14,24,16,-122.078448956,-111.502399167,-241.675640,-10.45943375
20,36,14,24,16,-147.064020486,-122.417500036,-279.144275,-12.23384834
20,40,14,24,16,-197.051115456,-133.696487587,-341.948835,-13.71530086
20,48,14,24,16,-235.885439536,-163.756072950,-414.038585,-17.59482235
20,52,14,24,16,-245.005283236,-175.969308526,-435.327752089,-18.09682203
20,54,14,24,16,-248.519945158,-179.384928440,-442.173509,-18.32167035
20,58,14,24,16,-254.833275407,-175.709191537,-441.803600,-15.83718530
20,60,14,24,16,-258.872129528,-185.688878288,-455.044083,-15.36066445
28,48,14,24,16,-173.834243364,-160.910442283,-347.966175,-16.42990506
28,56,14,24,16,-248.936425881,-209.736800922,-477.581682,-24.09694532
28,60,14,24,16,-281.757419626,-206.052477156,-507.039879,-25.95780257
28,66,14,24,16,-323.870569637,-233.237023872,-576.476640,-25.37618080
28,68,14,24,16,-335.969940620,-237.022260669,-591.958801,-25.23805973
28,78,14,24,16,-343.399521446,-269.289360933,-632.101185,-27.59094371
28,86,14,24,12,-340.358361765,-286.734762988,-643.579973,-26.79727306
50,88,14,24,12,-284.624435840,-312.586838687,-620.211337,-32.18321858
50,90,14,24,16,-314.599283286,-322.170821041,-662.606592,-34.92018239
50,100,14,24,16,-421.876049485,-377.250822151,-832.795725,-44.28154831
50,108,14,24,16,-491.445634098,-395.781810236,-921.613771,-45.40847159
50,114,14,24,12,-531.024002799,-416.939259505,-981.694021,-46.93696432
50,118,14,24,12,-554.025403247,-426.736908393,-1014.006300,-46.86559080
50,120,14,24,12,-564.876919945,-432.174290191,-1030.323181,-47.14030187
50,132,14,24,12,-599.619513402,-469.624494562,-1104.170900,-49.85175547
50,142,14,24,12,-602.672703090,-479.529701700,-1111.327793,-44.99615584
50,150,14,24,12,-603.188533576,-497.043531130,-1128.345715,-45.81527995
82,164,14,24,12,-558.328771257,-609.462110262,-1217.604719,-68.96767496
82,172,14,24,12,-634.545411688,-614.999375339,-1299.523339,-70.48361532
82,174,14,24,12,-654.096914439,-628.901274998,-1333.531379,-69.64202310
82,182,14,24,12,-708.024178916,-657.670659021,-1418.302297,-74.07046805
82,188,14,24,12,-742.300053756,-672.622938370,-1467.370403,-74.78488222
82,194,14,24,12,-770.994968210,-690.294057483,-1514.909841,-75.94531508
82,208,14,24,12,-841.078016609,-721.297198481,-1618.988292,-78.42098420
